#NPCID,NAME,MAPID,座標Ｘ,座標Ｙ,方向,scale,EVENTID,NOTOUCH,ＰＩＣＴＩＤ,初期モーション,透明度(0~255)この値を 0 以外にすると重くなるので注意してください,デフォルト表示,円形影の描画,FLAG,NPC表示設定,
#10000000,,0,
#10000001,,0,
#10000002,,0,
10000003,アップタウン東門守衛,10023100,222,126,6,1.1,10000003,0,10000003,111,0,1,0,0,0,
10000013,アップタウン西門守衛,10023200,33,129,2,1.1,10000013,0,10000013,111,0,1,0,0,0,
10000023,アップタウン南門守衛,10023300,129,223,0,1.1,10000023,0,10000023,111,0,1,0,0,0,
10000033,アップタウン北門守衛,10023400,126,33,4,1.1,10000033,0,10000033,111,0,1,0,0,0,
11000000,ギルド元宮ガイド,30110000,10,16,7,1,11000000,0,11000000,111,0,1,0,0,0,
11000001,下町の上品なおばさん,10024000,131,151,2,1,11000001,0,11000001,111,0,1,0,0,0,
11000002,酒屋マスター,30010000,1,0,7,1,11000002,0,11000002,111,0,1,0,0,0,
11000003,ジャンク屋店員,30014000,5,1,1,1,11000003,0,11000003,111,0,1,0,0,0,
11000004,武器屋店員,30012000,2,1,0,1,11000004,0,11000004,111,0,1,0,0,0,
#11000005,占い屋店員,30001000,2,1,0,1.05,11000005,0,11000005,111,0,1,0,0,0,
11000006,東側の露店店員,10024000,138,128,6,1,11000006,0,11000006,111,0,1,0,0,0,
11000007,西側の露店店員,10024000,117,127,2,1,11000007,0,11000007,111,0,1,0,0,0,
11000008,南側の露店店員,10024000,127,138,0,1,11000008,0,11000008,111,0,1,0,0,0,
11000009,北側の露店店員,10024000,128,117,4,1,11000009,0,11000009,111,0,1,0,0,0,
11000010,何でも屋のオヤジ,30002000,2,1,7,1.2,11000010,0,11000010,111,0,1,0,0,0,
11000011,ギルド元宮ガイド,30111000,10,16,7,1,11000011,0,11000011,111,0,1,0,0,0,
11000012,ギルド元宮ガイド,30112000,10,16,7,1,11000012,0,11000012,111,0,1,0,0,0,
11000013,ギルド元宮ガイド,30113000,10,16,7,1,11000013,0,11000013,111,0,1,0,0,0,
11000014,ギルド元宮ガイド,30114000,10,16,7,1,11000014,0,11000014,111,0,1,0,0,0,
11000015,ソードマンマスター,30040000,3,3,0,1.1,11000015,0,11000015,111,0,1,0,0,0,
11000016,フェンサーマスター,30041000,3,3,0,1,11000016,0,11000016,111,0,1,0,0,0,
11000017,スカウトマスター,30042000,3,3,0,1,11000017,0,11000017,111,0,1,0,0,0,
11000018,アーチャーマスター,30043000,3,3,0,1,11000018,0,11000018,111,0,1,0,0,0,
11000019,スペルユーザーマスター,30044000,3,2,0,1.1,11000019,0,11000019,111,0,1,0,0,0,
11000020,タタラベマスター,30045000,3,3,0,1,11000020,0,11000020,111,0,1,0,0,0,
11000021,マシンナリーマスター,30046000,3,3,0,1.15,11000021,0,11000021,111,0,1,0,0,0,
11000022,ファーマーマスター,30047000,3,3,0,1,11000022,0,11000022,111,0,1,0,0,0,
11000023,アルケミストマスター,30048000,3,3,0,1,11000023,0,11000023,111,0,1,0,0,0,
11000024,マリオネストマスター,30049000,3,3,0,1.05,11000024,0,11000024,111,0,1,0,0,0,
11000025,レンジャーマスター,30050000,3,3,0,1,11000025,0,11000025,111,0,1,0,0,0,
11000026,マーチャントマスター,30051000,3,3,0,1.05,11000026,0,11000026,111,0,1,0,0,0,
11000027,タイタニア族利益代表,30052000,3,4,0,1,11000027,0,11000027,111,0,1,0,0,0,
11000028,ドミニオン族利益代表,30053000,3,4,0,1,11000028,0,11000028,111,0,1,0,0,0,
11000029,ギョニン,30054000,3,3,0,1,11000029,0,11000029,111,0,1,0,0,0,
11000030,モリビト,30054000,1,4,6,1,11000030,0,11000030,111,0,1,0,0,0,
11000031,クーマ,30054000,5,4,2,1,11000031,0,11000031,111,0,1,0,0,0,
11000032,ピボット,30055000,3,3,0,1,11000032,0,11000032,111,0,1,0,0,0,
11000033,長官室守衛,30100000,2,13,6,1.1,11000033,0,11000033,111,0,1,0,0,0,
11000034,長官室守衛,30101000,2,13,6,1.1,11000034,0,11000034,111,0,1,0,0,0,
11000035,長官室守衛,30102000,2,13,6,1.1,11000035,0,11000035,111,0,1,0,0,0,
